# File Name: RAWCHECK.txt
# File Size: 3169983     
# File Date: 03/30/2021 19:33:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	RAWFIX	TEXT	ORIGINAL
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	013	MODIFY	sepse dihet se Perëndia ynë lindi nga fisi i Judës, për të cilin Moisiu nuk tha asgjë lidhur me priftërinë.	Dhe kjo bëhet edhe më e qartë, në qoftë se del një prift tjetër pas shëmbëllimit të Melkisedekut,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	014	MODIFY	Dhe kjo bëhet edhe më e qartë, në qoftë se del një prift tjetër pas shëmbëllimit të Melkisedekut,	që nuk u bë i tillë në bazë të ligjit të porosisë së mishit, po në bazë të fuqisë të jetës së pashkatërrueshme.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	015	MODIFY	që nuk u bë i tillë në bazë të ligjit të porosisë së mishit, po në bazë të fuqisë të jetës së pashkatërrueshme.	Sepse Shkrimi dëshmon: “Ti je prift për jetë të jetës, sipas rendit të Melkisedekut”.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	016	MODIFY	Sepse Shkrimi dëshmon: “Ti je prift për jetë të jetës, sipas rendit të Melkisedekut”.	Në këtë mënyrë bie poshtë urdhërimi i mëparshëm, për shkak të dobësisë dhe të padobisë së tij,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	017	MODIFY	Në këtë mënyrë bie poshtë urdhërimi i mëparshëm, për shkak të dobësisë dhe të padobisë së tij,	sepse ligji nuk mbaroi asnjë lloj pune, po futi një shpresë më të mirë, me anë të së cilës i afrohemi Perëndisë.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	018	MODIFY	sepse ligji nuk mbaroi asnjë lloj pune, po futi një shpresë më të mirë, me anë të së cilës i afrohemi Perëndisë.	Dhe kjo nuk u bë pa betim. Sepse ata bëheshin priftërinj pa bërë betim,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	019	MODIFY	Dhe kjo nuk u bë pa betim. Sepse ata bëheshin priftërinj pa bërë betim,	(ndërsa ky në bazë të betimit nga ana e atij që i tha: “Perëndia u betua dhe nuk do të pendohet: Ti je prift përjetë, sipas rendit të Melkisedekut”).
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	020	MODIFY	(ndërsa ky në bazë të betimit nga ana e atij që i tha: “Perëndia u betua dhe nuk do të pendohet: Ti je prift përjetë, sipas rendit të Melkisedekut”).	Kështu Jezusi u bë garant i një besëlidhjeje shumë më të mirë.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	021	MODIFY	Kështu Jezusi u bë garant i një besëlidhjeje shumë më të mirë.	Për më tepër ata qenë bërë priftërinj në numër të madh, sepse vdekja nuk i linte të qëndronin për gjithnjë,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	022	MODIFY	Për më tepër ata qenë bërë priftërinj në numër të madh, sepse vdekja nuk i linte të qëndronin për gjithnjë,	kurse ai, mbasi qëndron për jetë të jetës, ka priftëri të patjetërsueshme,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	023	MODIFY	kurse ai, mbasi qëndron për jetë të jetës, ka priftëri të patjetërsueshme,	prandaj edhe mund të shpëtojë plotësisht ata që me anë të tij i afrohen Perëndisë, sepse gjithmonë rron që të ndërmjetësojë për ta.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	024	MODIFY	prandaj edhe mund të shpëtojë plotësisht ata që me anë të tij i afrohen Perëndisë, sepse gjithmonë rron që të ndërmjetësojë për ta.	Sepse ne një kryeprift i tillë na duhej, i shenjtë, i pafaj, i papërlyer, i ndarë nga mëkatarët dhe i ngritur përmbi qiej,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	025	MODIFY	Sepse ne një kryeprift i tillë na duhej, i shenjtë, i pafaj, i papërlyer, i ndarë nga mëkatarët dhe i ngritur përmbi qiej,	i cili nuk ka nevojë çdo ditë, si ata kryepriftërinjtë, të ofrojë flijime më parë për mëkatet e veta e pastaj për ato të popullit; sepse këtë e bëri një herë e mirë, kur e kushtoi vetveten.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	026	MODIFY	i cili nuk ka nevojë çdo ditë, si ata kryepriftërinjtë, të ofrojë flijime më parë për mëkatet e veta e pastaj për ato të popullit; sepse këtë e bëri një herë e mirë, kur e kushtoi vetveten.	Sepse ligji vë kryepriftërinj njerëz që kanë dobësi, por fjala e betimit, që vjen pas ligjit, vë Birin që është i përkryer në jetë të jetës.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	027	MODIFY	Sepse ligji vë kryepriftërinj njerëz që kanë dobësi, por fjala e betimit, që vjen pas ligjit, vë Birin që është i përkryer në jetë të jetës.	Dhe pika kryesore e atyre gjërave që po themi është kjo: ne kemi një kryeprift të tillë, i cili qëndron në të djathtën e fronit të Madhërisë në qiejt,
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	028	MODIFY	Dhe pika kryesore e atyre gjërave që po themi është kjo: ne kemi një kryeprift të tillë, i cili qëndron në të djathtën e fronit të Madhërisë në qiejt,	shërbenjës i shenjtërores dhe të tabernakullit të vërtetë, të cilin e ngriti Perëndia e jo njeriu.
Holy-Bible---Albanian-Tosk---Albanian-Bible	058	HEB	007	029	ADD	shërbenjës i shenjtërores dhe të tabernakullit të vërtetë, të cilin e ngriti Perëndia e jo njeriu.	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	002	022	MODIFY	ܟܕ ܕܝܢ ܫܡܥ ܕܐܪܟܠܐܘܤ ܗܘܐ ܡܠܟܐ ܒܝܗܘܕ ܚܠܦ ܗܪܘܕܤ ܐܒܘܗܝ ܕܚܠ ܕܢܐܙܠ ܠܬܡܢ ܘܐܬܚܙܝ ܠܗ ܒܚܠܡܐ ܕܢܐܙܠ ܠܐܬܪܐ ܕܓܠܝܠܐ	ܟܕ ܕܝܢ ܫܡܥ ܕܐܪܟܠܐܘܤ ܗܘܐ ܡܠܟܐ ܒܝܗܘܕ ܚܠܦ ܗܪܘܕܤ ܐܒܘܗܝ ܕܚܠ ܕܢܐܙܠ ܠܬܡܢ ܘܐܬܚܙܝ ܠܗ ܒܚܠܡܐ ܕܢܐܙܠ ܠܐܬܪܐ ܕܓܠܝܠܐ  23 ܘܐܬܐ ܥܡܪ ܒܡܕܝܢܬܐ ܕܡܬܩܪܝܐ ܢܨܪܬ ܐܝܟ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܒܢܒܝܐ ܕܢܨܪܝܐ ܢܬܩܪܐ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	002	023	ADD	ܘܐܬܐ ܥܡܪ ܒܡܕܝܢܬܐ ܕܡܬܩܪܝܐ ܢܨܪܬ ܐܝܟ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܒܢܒܝܐ ܕܢܨܪܝܐ ܢܬܩܪܐ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	003	016	MODIFY	ܟܕ ܥܡܕ ܕܝܢ ܝܫܘܥ ܡܚܕܐ ܤܠܩ ܡܢ ܡܝܐ ܘܐܬܦܬܚܘ ܠܗ ܫܡܝܐ ܘܚܙܐ ܪܘܚܐ ܕܐܠܗܐ ܕܢܚܬܐ ܐܝܟ ܝܘܢܐ ܘܐܬܬ ܥܠܘܗܝ	ܟܕ ܥܡܕ ܕܝܢ ܝܫܘܥ ܡܚܕܐ ܤܠܩ ܡܢ ܡܝܐ ܘܐܬܦܬܚܘ ܠܗ ܫܡܝܐ ܘܚܙܐ ܪܘܚܐ ܕܐܠܗܐ ܕܢܚܬܐ ܐܝܟ ܝܘܢܐ ܘܐܬܬ ܥܠܘܗܝ  17 ܘܗܐ ܩܠܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܢܘ ܒܪܝ ܚܒܝܒܐ ܕܒܗ ܐܨܛܒܝܬ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	003	017	ADD	ܘܗܐ ܩܠܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܢܘ ܒܪܝ ܚܒܝܒܐ ܕܒܗ ܐܨܛܒܝܬ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	004	024	MODIFY	ܘܐܫܬܡܥ ܛܒܗ ܒܟܠܗ ܤܘܪܝܐ ܘܩܪܒܘ ܠܗ ܟܠܗܘܢ ܐܝܠܝܢ ܕܒܝܫ ܒܝܫ ܥܒܝܕܝܢ ܒܟܘܪܗܢܐ ܡܫܚܠܦܐ ܘܐܝܠܝܢ ܕܐܠܝܨܝܢ ܒܬܫܢܝܩܐ ܘܕܝܘܢܐ ܘܕܒܪ ܐܓܪܐ ܘܡܫܪܝܐ ܘܐܤܝ ܐܢܘܢ	ܘܐܫܬܡܥ ܛܒܗ ܒܟܠܗ ܤܘܪܝܐ ܘܩܪܒܘ ܠܗ ܟܠܗܘܢ ܐܝܠܝܢ ܕܒܝܫ ܒܝܫ ܥܒܝܕܝܢ ܒܟܘܪܗܢܐ ܡܫܚܠܦܐ ܘܐܝܠܝܢ ܕܐܠܝܨܝܢ ܒܬܫܢܝܩܐ ܘܕܝܘܢܐ ܘܕܒܪ ܐܓܪܐ ܘܡܫܪܝܐ ܘܐܤܝ ܐܢܘܢ  25 ܘܐܙܠܘ ܒܬܪܗ ܟܢܫܐ ܤܓܝܐܐ ܡܢ ܓܠܝܠܐ ܘܡܢ ܥܤܪܬ ܡܕܝܢܬܐ ܘܡܢ ܐܘܪܫܠܡ ܘܡܢ ܝܗܘܕ ܘܡܢ ܥܒܪܐ ܕܝܘܪܕܢܢ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	004	025	ADD	ܘܐܙܠܘ ܒܬܪܗ ܟܢܫܐ ܤܓܝܐܐ ܡܢ ܓܠܝܠܐ ܘܡܢ ܥܤܪܬ ܡܕܝܢܬܐ ܘܡܢ ܐܘܪܫܠܡ ܘܡܢ ܝܗܘܕ ܘܡܢ ܥܒܪܐ ܕܝܘܪܕܢܢ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	005	047	MODIFY	ܘܐܢ ܫܐܠܝܢ ܐܢܬܘܢ ܒܫܠܡܐ ܕܐܚܝܟܘܢ ܒܠܚܘܕ ܡܢܐ ܝܬܝܪ ܥܒܕܝܢ ܐܢܬܘܢ ܠܐ ܗܐ ܐܦ ܡܟܤܐ ܗܝ ܗܕܐ ܥܒܕܝܢ	ܘܐܢ ܫܐܠܝܢ ܐܢܬܘܢ ܒܫܠܡܐ ܕܐܚܝܟܘܢ ܒܠܚܘܕ ܡܢܐ ܝܬܝܪ ܥܒܕܝܢ ܐܢܬܘܢ ܠܐ ܗܐ ܐܦ ܡܟܤܐ ܗܝ ܗܕܐ ܥܒܕܝܢ  48 ܗܘܘ ܗܟܝܠ ܐܢܬܘܢ ܓܡܝܪܐ ܐܝܟܢܐ ܕܐܒܘܟܘܢ ܕܒܫܡܝܐ ܓܡܝܪ ܗܘ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	005	048	ADD	ܗܘܘ ܗܟܝܠ ܐܢܬܘܢ ܓܡܝܪܐ ܐܝܟܢܐ ܕܐܒܘܟܘܢ ܕܒܫܡܝܐ ܓܡܝܪ ܗܘ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	006	033	MODIFY	ܒܥܘ ܕܝܢ ܠܘܩܕܡ ܡܠܟܘܬܗ ܕܐܠܗܐ ܘܙܕܝܩܘܬܗ ܘܟܠܗܝܢ ܗܠܝܢ ܡܬܬܘܤܦܢ ܠܟܘܢ	ܒܥܘ ܕܝܢ ܠܘܩܕܡ ܡܠܟܘܬܗ ܕܐܠܗܐ ܘܙܕܝܩܘܬܗ ܘܟܠܗܝܢ ܗܠܝܢ ܡܬܬܘܤܦܢ ܠܟܘܢ  34 ܠܐ ܗܟܝܠ ܬܐܨܦܘܢ ܕܡܚܪ ܗܘ ܓܝܪ ܡܚܪ ܝܨܦ ܕܝܠܗ ܤܦܩ ܠܗ ܠܝܘܡܐ ܒܝܫܬܗ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	006	034	ADD	ܠܐ ܗܟܝܠ ܬܐܨܦܘܢ ܕܡܚܪ ܗܘ ܓܝܪ ܡܚܪ ܝܨܦ ܕܝܠܗ ܤܦܩ ܠܗ ܠܝܘܡܐ ܒܝܫܬܗ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	007	028	MODIFY	ܘܗܘܐ ܕܟܕ ܫܠܡ ܝܫܘܥ ܡܠܐ ܗܠܝܢ ܬܗܝܪܝܢ ܗܘܘ ܟܢܫܐ ܥܠ ܝܘܠܦܢܗ	ܘܗܘܐ ܕܟܕ ܫܠܡ ܝܫܘܥ ܡܠܐ ܗܠܝܢ ܬܗܝܪܝܢ ܗܘܘ ܟܢܫܐ ܥܠ ܝܘܠܦܢܗ  29 ܡܠܦ ܗܘܐ ܠܗܘܢ ܓܝܪ ܐܝܟ ܡܫܠܛܐ ܘܠܐ ܐܝܟ ܤܦܪܝܗܘܢ ܘܦܪܝܫܐ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	007	029	ADD	ܡܠܦ ܗܘܐ ܠܗܘܢ ܓܝܪ ܐܝܟ ܡܫܠܛܐ ܘܠܐ ܐܝܟ ܤܦܪܝܗܘܢ ܘܦܪܝܫܐ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	008	033	MODIFY	ܗܢܘܢ ܕܝܢ ܕܪܥܝܢ ܗܘܘ ܥܪܩܘ ܘܐܙܠܘ ܠܡܕܝܢܬܐ ܘܚܘܝܘ ܟܠܡܕܡ ܕܗܘܐ ܘܕܗܢܘܢ ܕܝܘܢܐ	ܗܢܘܢ ܕܝܢ ܕܪܥܝܢ ܗܘܘ ܥܪܩܘ ܘܐܙܠܘ ܠܡܕܝܢܬܐ ܘܚܘܝܘ ܟܠܡܕܡ ܕܗܘܐ ܘܕܗܢܘܢ ܕܝܘܢܐ  34 ܘܢܦܩܬ ܟܠܗ ܡܕܝܢܬܐ ܠܐܘܪܥܗ ܕܝܫܘܥ ܘܟܕ ܚܙܐܘܗܝ ܒܥܘ ܡܢܗ ܕܢܫܢܐ ܡܢ ܬܚܘܡܝܗܘܢ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	008	034	ADD	ܘܢܦܩܬ ܟܠܗ ܡܕܝܢܬܐ ܠܐܘܪܥܗ ܕܝܫܘܥ ܘܟܕ ܚܙܐܘܗܝ ܒܥܘ ܡܢܗ ܕܢܫܢܐ ܡܢ ܬܚܘܡܝܗܘܢ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	009	037	MODIFY	ܘܐܡܪ ܠܬܠܡܝܕܘܗܝ ܚܨܕܐ ܤܓܝ ܘܦܥܠܐ ܙܥܘܪܝܢ	ܘܐܡܪ ܠܬܠܡܝܕܘܗܝ ܚܨܕܐ ܤܓܝ ܘܦܥܠܐ ܙܥܘܪܝܢ  38 ܒܥܘ ܗܟܝܠ ܡܢ ܡܪܐ ܚܨܕܐ ܕܢܦܩ ܦܥܠܐ ܠܚܨܕܗ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	009	038	ADD	ܒܥܘ ܗܟܝܠ ܡܢ ܡܪܐ ܚܨܕܐ ܕܢܦܩ ܦܥܠܐ ܠܚܨܕܗ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	010	041	MODIFY	ܡܢ ܕܡܩܒܠ ܢܒܝܐ ܒܫܡ ܢܒܝܐ ܐܓܪܐ ܕܢܒܝܐ ܢܤܒ ܘܡܢ ܕܡܩܒܠ ܙܕܝܩܐ ܒܫܡ ܙܕܝܩܐ ܐܓܪܐ ܕܙܕܝܩܐ ܢܤܒ	ܡܢ ܕܡܩܒܠ ܢܒܝܐ ܒܫܡ ܢܒܝܐ ܐܓܪܐ ܕܢܒܝܐ ܢܤܒ ܘܡܢ ܕܡܩܒܠ ܙܕܝܩܐ ܒܫܡ ܙܕܝܩܐ ܐܓܪܐ ܕܙܕܝܩܐ ܢܤܒ  42 ܘܟܠ ܕܡܫܩܐ ܠܚܕ ܡܢ ܗܠܝܢ ܙܥܘܪܐ ܟܤܐ ܕܩܪܝܪܐ ܒܠܚܘܕ ܒܫܡܐ ܕܬܠܡܝܕܐ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܠܐ ܢܘܒܕ ܐܓܪܗ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	010	042	ADD	ܘܟܠ ܕܡܫܩܐ ܠܚܕ ܡܢ ܗܠܝܢ ܙܥܘܪܐ ܟܤܐ ܕܩܪܝܪܐ ܒܠܚܘܕ ܒܫܡܐ ܕܬܠܡܝܕܐ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܠܐ ܢܘܒܕ ܐܓܪܗ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	011	029	MODIFY	ܫܩܘܠܘ ܢܝܪܝ ܥܠܝܟܘܢ ܘܝܠܦܘ ܡܢܝ ܕܢܝܚ ܐܢܐ ܘܡܟܝܟ ܐܢܐ ܒܠܒܝ ܘܡܫܟܚܝܢ ܐܢܬܘܢ ܢܝܚܐ ܠܢܦܫܬܟܘܢ	ܫܩܘܠܘ ܢܝܪܝ ܥܠܝܟܘܢ ܘܝܠܦܘ ܡܢܝ ܕܢܝܚ ܐܢܐ ܘܡܟܝܟ ܐܢܐ ܒܠܒܝ ܘܡܫܟܚܝܢ ܐܢܬܘܢ ܢܝܚܐ ܠܢܦܫܬܟܘܢ  30 ܢܝܪܝ ܓܝܪ ܒܤܝܡ ܗܘ ܘܡܘܒܠܝ ܩܠܝܠܐ ܗܝ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	011	030	ADD	ܢܝܪܝ ܓܝܪ ܒܤܝܡ ܗܘ ܘܡܘܒܠܝ ܩܠܝܠܐ ܗܝ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	012	049	MODIFY	ܘܦܫܛ ܐܝܕܗ ܠܘܬ ܬܠܡܝܕܘܗܝ ܘܐܡܪ ܗܐ ܐܡܝ ܘܗܐ ܐܚܝ	ܘܦܫܛ ܐܝܕܗ ܠܘܬ ܬܠܡܝܕܘܗܝ ܘܐܡܪ ܗܐ ܐܡܝ ܘܗܐ ܐܚܝ  50 ܟܠܢܫ ܓܝܪ ܕܥܒܕ ܨܒܝܢܗ ܕܐܒܝ ܕܒܫܡܝܐ ܗܘܝܘ ܐܚܝ ܘܚܬܝ ܘܐܡܝ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	012	050	ADD	ܟܠܢܫ ܓܝܪ ܕܥܒܕ ܨܒܝܢܗ ܕܐܒܝ ܕܒܫܡܝܐ ܗܘܝܘ ܐܚܝ ܘܚܬܝ ܘܐܡܝ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	013	057	MODIFY	ܘܡܬܟܫܠܝܢ ܗܘܘ ܒܗ ܗܘ ܕܝܢ ܝܫܘܥ ܐܡܪ ܠܗܘܢ ܠܝܬ ܢܒܝܐ ܕܨܥܝܪ ܐܠܐ ܒܡܕܝܢܬܗ ܘܒܒܝܬܗ	ܘܡܬܟܫܠܝܢ ܗܘܘ ܒܗ ܗܘ ܕܝܢ ܝܫܘܥ ܐܡܪ ܠܗܘܢ ܠܝܬ ܢܒܝܐ ܕܨܥܝܪ ܐܠܐ ܒܡܕܝܢܬܗ ܘܒܒܝܬܗ  58 ܘܠܐ ܥܒܕ ܬܡܢ ܚܝܠܐ ܤܓܝܐܐ ܡܛܠ ܠܐ ܗܝܡܢܘܬܗܘܢ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	013	058	ADD	ܘܠܐ ܥܒܕ ܬܡܢ ܚܝܠܐ ܤܓܝܐܐ ܡܛܠ ܠܐ ܗܝܡܢܘܬܗܘܢ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	014	035	MODIFY	ܘܐܫܬܘܕܥܘܗܝ ܐܢܫܐ ܕܐܬܪܐ ܗܘ ܘܫܕܪܘ ܠܟܠܗܝܢ ܩܘܪܝܐ ܕܚܕܪܝܗܘܢ ܘܩܪܒܘ ܠܗ ܟܠܗܘܢ ܐܝܠܝܢ ܕܒܝܫ ܒܝܫ ܥܒܝܕܝܢ	ܘܐܫܬܘܕܥܘܗܝ ܐܢܫܐ ܕܐܬܪܐ ܗܘ ܘܫܕܪܘ ܠܟܠܗܝܢ ܩܘܪܝܐ ܕܚܕܪܝܗܘܢ ܘܩܪܒܘ ܠܗ ܟܠܗܘܢ ܐܝܠܝܢ ܕܒܝܫ ܒܝܫ ܥܒܝܕܝܢ  36 ܘܒܥܝܢ ܗܘܘ ܡܢܗ ܕܢܩܪܒܘܢ ܐܦܢ ܠܟܢܦܐ ܒܠܚܘܕ ܕܠܒܘܫܗ ܘܐܝܠܝܢ ܕܩܪܒܘ ܐܬܐܤܝܘ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	014	036	ADD	ܘܒܥܝܢ ܗܘܘ ܡܢܗ ܕܢܩܪܒܘܢ ܐܦܢ ܠܟܢܦܐ ܒܠܚܘܕ ܕܠܒܘܫܗ ܘܐܝܠܝܢ ܕܩܪܒܘ ܐܬܐܤܝܘ	
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	015	038	MODIFY	ܗܢܘܢ ܕܝܢ ܕܐܟܠܘ ܗܘܝܢ ܗܘܘ ܐܪܒܥܐ ܐܠܦܝܢ ܓܒܪܐ ܤܛܪ ܡܢ ܢܫܐ ܘܛܠܝܐ	ܗܢܘܢ ܕܝܢ ܕܐܟܠܘ ܗܘܝܢ ܗܘܘ ܐܪܒܥܐ ܐܠܦܝܢ ܓܒܪܐ ܤܛܪ ܡܢ ܢܫܐ ܘܛܠܝܐ  39 ܘܟܕ ܫܪܐ ܠܟܢܫܐ ܤܠܩ ܠܐܠܦܐ ܘܐܬܐ ܠܬܚܘܡܐ ܕܡܓܕܘ
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	040	MAT	015	039	ADD	ܘܟܕ ܫܪܐ ܠܟܢܫܐ ܤܠܩ ܠܐܠܦܐ ܘܐܬܐ ܠܬܚܘܡܐ ܕܡܓܕܘ	
